RADAR_NAME  SITE_NAME     LAT_DEG LAT_MIN LAT_SEC  LON_DEG LON_MIN LON_SEC ELEV
KABR        Aberdeen      45      27      21        98     24      47       416
KABX        Albuquer      35       8      59       106     49      26      1809
KAKQ        Wakefld       36      59       2        77      0      26        59
KAMA        Amarillo      35      14       0       101     42      33      1113
KAMX        Miami         25      36      40        80     24      46        29
KAPX        Alpena        44      54      26        84     43      11       471
KARX        LaCrosse      43      49      22        91     11      28       409
KATX        Seattle       48      11      40       122     29      45       181
KBBX        BealeAFB      39      29      46       121     37      54        61
KBGM        Binghmtn      42      11      59        75     59       5       514 
KBHX        Eureka        40      29      54       124     17      31       762
KBIS        Bismark       46      46      15       100     45      38       530
KBIX        Keesler       30      31      26        88     59       5        62
KBLX        Billings      45      51      14       108     36      24      1112
KBMX        Birmnghm      33      10      20        86     46      11       227
KBOX        Boston        41      57      21        71      8      13        66
KTAW        Boston        41      57      21        71      8      13        66
KBRO        Brwnsvil      25      54      58        97     25       8        22
KBTV        Burlngtn      44      30      40        73     10       1       121
KCXX        Burlngtn      44      30      40        73     10       1       121
KBUF        Buffalo       42      56      56        78     44      12       236
KBYX        KeyWest       24      35      51        81     42      11        23
KEYW        KeyWest       24      35      51        81     42      11        23
KCAE        Columbia      33      56      55        81      7       6       100
KCBW        Caribou       46       2      21        67     48      23       262
KCBX        Boise         43      29      26       116     14       8       953
KCCX        StateCol      40      55      23        78      0      13       753
KCLE        Clevelnd      41      24      47        81     51      35       257
KCLX        CharlSC       32      39      20        81      2      32        58
KCRI        NormOSF       35      14      18        97     27      37       394
KOU3        NormOSF       35      14      18        97     27      37       394
KCRP        CorpusCr      27      47       3        97     30      40        43
KCYS        Cheyenne      41       9       7       104     48      22      1883
KDAX        Sacramen      38      30       4       121     40      40        39
KDDC        DodgeCty      37      45      39        99     58       8       809
KDFX        Laughlin      29      16      22       100     16      50       360
KDGX        Jackson       32      16      48        89     59       4       186
KDIX        Philadel      39      56      49        74     24      39        65
KDLH        Duluth        46      50      13        92     12      35       465
KDMX        DesMoine      41      43      52        93     43      22       329
KDOX        DoverAFB      38      49      32        75     26      23        45
KDTX        Detroit       42      41      59        83     28      18       357
KDVN        Davnport      41      36      42        90     34      51       254
KDYX        DyessAFB      32      32      18        99     15      16       477
KEAX        KansCity      38      48      37        94     15      52       328
KEMX        Tucson        31      53      37       110     37      49      1616
KENX        AlbanyNY      42      35      11        74      3      50       577
KEOX        FtRucker      31      27      38        85     27      34       147
KEPZ        ElPaso        31      52      23       106     41      53      1281
KESX        LasVegas      35      42       4       114     53      29      1503
KEVX        EglinAFB      30      33      52        85     55      17        63
KEWX        Austin        29      42      14        98      1      42       218
KEYX        Edwards       35       5      52       117     33      39       865
KFCX        Roanoke       37       1      28        80     16      26       899
KFDR        Fredrick      34      21      44        98     58      35       396
KFDX        CanonAFB      34      38       7       103     37      48      1427
KFFC        Atlanta       33      21      46        84     33      57       292 
KFSD        SiouxFal      43      35      16        96     43      46       451
KFSX        Flgstaff      34      34      28       111     11      52      2286
KFTG        Denver        39      47      12       104     32      45      1705
KFWS        FtWorth       32      34      23        97     18      11       228
KGGW        Glasgow       48      12      23       106     37      30       713
KGJX        GrndJnxn      39       3      44       108     12      50      3061
KGLD        Goodland      39      22       1       101     42       1      1127
KGRB        GreenBay      44      29      54        88      6      41       237
KGRK        Granger       30      43      19        97     22      59       179
KGRR        GrndRapd      42      53      38        85     32      41       261
KGSP        Greer         34      53       0        82     13      12       322
KGWX        Columbus      33      53      48        88     19      44       165
KGYX        PrtlndME      43      53      29        70     15      23       140
KHDX        Holloman      33       4      35       106      7      22      1297
KWSD        Holloman      33       4      35       106      7      22      1297
KHGX        Houston       29      28      19        95      4      45        30
KHNX        Hanford       36      18      51       119     37      56       100
KHPX        FortCamp      36      44      12        87     17       6       186
KHTX        Huntsvil      34      55      50        86      5       0       551
KICT        Wichita       37      39      17        97     26      34       421
KICX        CedarCty      37      35      27       112     51      44      3261
KILN        Cincnati      39      25      13        83     49      18       352
KILX        LinclnIL      40       9       2        89     20      13       207
KIND        Indianap      39      42      27        86     16      49       266
KINS        Morehead      34      46      34        76     52      34        39
KMHX        Morehead      34      46      34        76     52      34        39
KINX        Tulsa         36      10      30        95     33      53       224
KIWA        Phoenix       33      17      21       111     40      12       427
KIWX        FtWayne       41      21      32        85     42      00       293
KJAN        JacksnMS      32      19       4        90      4      48       116
KJAX        Jaxnvill      30      29       5        81     42       7        35
KJGX        RobinsAF      32      40      31        83     21       4       184
KWRB        RobinsAF      32      40      31        83     21       4       184
KJKL        JacksnKY      37      35      27        83     18      47       446
KLBB        Lubbock       33      39      15       101     48      51      1013
KLCH        LkCharls      30       7      31        93     12      57        24
KLIX        NewOrlns      30      20      12        89     49      32        37
KLNX        N.Platte      41      57      28       100     34      35       930
KLOT        Chicago       41      36      17        88      5       5       227
KLRX        Elko          40      44      23       116     48      10      2086
KLSX        St.Louis      38      41      56        90     40      58       215
KLTX        WilmngOH      33      59      22        78     25      44        39
KLVX        Louisvil      37      58      31        85     56      38       249
KLWX        Sterling      38      58      31        77     28      40       107
KLZK        LitlRock      34      50      11        92     15      44       193
KMAF        Midland       31      56      36       102     11      21       889
KMAX        Medford       42       4      52       122     43       2      2299
KMBX        MinotAFB      48      23      33       100     51      54       465
KMKX        Milwauke      42      58       4        88     33       2       307
KMLB        Melbourn      28       6      48        80     39      15        31
KMOB        Mobile        30      40      46        88     14      23        83
KMPX        Minneapl      44      50      56        93     33      56       318
KMQT        Marquett      46      31      52        87     32      54       460
KMRX        Knoxvill      36      10       7        83     24       6       433
KMSX        Missoula      47       2      28       113     59      10      2404
KMTX        SaltLake      41      15      46       112     26      52      1999
KMUX        SanFran       37       9      19       121     53      54      1077
KMVX        GrndFork      47      31      40        97     19      32       325
KMXF        Maxwell       32      32      12        85     47      23       152
KMXX        Maxwell       32      32      12        85     47      23       152
KNKX        SanDiego      32      55       8       117      2      31       316
KNQA        Memphis       35      20      41        89     52      24       111
KOAX        Omaha         41      19      13        96     22       0       380
KOHX        Nashvill      36      14      50        86     33      45       201
KOKX        NewYork       40      51      56        72     51      50        56
KOTX        Spokane       47      40      49       117     37      36       742
KOUN        Norman        35      14      10        97     27      48       377
KPAH        Padukah       37       4       6        88     46      19       149
KPBZ        Pittsbrg      40      31      54        80     13       5       381
KPDT        Pndlton       45      41      26       118     51      10       477
KPOE        FortPolk      31       9      20        92     58      33       139
KPUX        Pueblo        38      27      34       104     10      53      1615
KRAX        Raleigh       35      39      56        78     29      23       136
KRGX        Reno          39      45      15       119     27      44      2554
KRIW        Riverton      43       3      58       108     28      38      1712
KRIX        MarchAFB      33      35      54       117      7      13       431
KRLX        CharlWV       38      18      40        81     43      23       359
KRMX        Griffiss      43      28       4        75     27      28       492
KRTX        PrtlndOR      45      42      53       122     57      55       509
KSFX        IdahoFls      43       6      21       112     41      10      1384
KSGF        Sprgfild      37      14       7        93     24       2       414
KSHV        Shrvport      32      27       3        93     50      29       113
KSJT        SanAnglo      31      22      17       100     29      33       606
KSOX        SantaAna      33      49       4       117     38       9       938
KSRX        FtSmith       35      17      26        94     21      42       215
KTBW        Tampa         27      42      20        82     24       6        32
KTFX        GreatFal      47      27      35       111     23       7      1147
KTLH        Talhasee      30      23      51        84     19      44        49
KTLX        OklaCity      35      19      59        97     16      40       384
KOKC        OklaCity      35      19      59        97     16      40       384 
KTWX        Topeka        38      59      49        96     13      57       427
KTOP        Topeka        38      59      49        96     13      57       427
